id:ID(EVENT),event_type,type,event_subtype,publish_time,Entity_type
42fa7dd211f111ebabda0242ac110010,movement,event,transport,1602348000,event
42fa80e811f111ebabda0242ac110010,movement,event,transport,1602348000,event
42fa83e011f111ebabda0242ac110010,movement,event,transport,1602348000,event
42fa858411f111ebabda0242ac110010,movement,event,transport,1602348000,event
42ff454211f111ebabda0242ac110010,business,event,start_org,1602399624,event
42ff497011f111ebabda0242ac110010,transaction,event,transfer_ownership,1602399624,event
42ff4f3811f111ebabda0242ac110010,movement,event,transport,1602399624,event
42ff512c11f111ebabda0242ac110010,movement,event,transport,1602399624,event
42ff52ee11f111ebabda0242ac110010,movement,event,transport,1602399624,event
42ff568611f111ebabda0242ac110010,business,event,start_org,1602399624,event
42ff593811f111ebabda0242ac110010,business,event,start_org,1602399624,event
42ff5bf411f111ebabda0242ac110010,conflict,event,attack,1602399624,event
42ff5e1011f111ebabda0242ac110010,movement,event,transport,1602399624,event
43028a5e11f111ebabda0242ac110010,contact,event,meet,1602416880,event
43028f9011f111ebabda0242ac110010,movement,event,transport,1602416880,event
4302926011f111ebabda0242ac110010,contact,event,meet,1602416880,event
430295a811f111ebabda0242ac110010,contact,event,meet,1602416880,event
430297f611f111ebabda0242ac110010,contact,event,meet,1602416880,event
43029a8011f111ebabda0242ac110010,movement,event,transport,1602416880,event
43029cf611f111ebabda0242ac110010,business,event,start_org,1602416880,event
4303289211f111ebabda0242ac110010,justice,event,arrest_jail,1602400620,event
43032b5811f111ebabda0242ac110010,conflict,event,attack,1602400620,event
43032ef011f111ebabda0242ac110010,conflict,event,attack,1602400620,event
4303310211f111ebabda0242ac110010,life,event,injure,1602400620,event
4303335011f111ebabda0242ac110010,justice,event,arrest_jail,1602400620,event
43044dda11f111ebabda0242ac110010,personnel,event,start_position,1602408360,event
4304ca4e11f111ebabda0242ac110010,movement,event,transport,1602416160,event
4305c01611f111ebabda0242ac110010,contact,event,meet,1602385620,event
4306f32811f111ebabda0242ac110010,business,event,start_org,1602411180,event
4307f63811f111ebabda0242ac110010,justice,event,arrest_jail,1602422220,event
4307fa2011f111ebabda0242ac110010,conflict,event,demonstrate,1602422220,event
4307fd7c11f111ebabda0242ac110010,movement,event,transport,1602422220,event
4307fffc11f111ebabda0242ac110010,justice,event,arrest_jail,1602422220,event
4308021811f111ebabda0242ac110010,movement,event,transport,1602422220,event
